partName	belongToComponent	spec	quantity	example model	Example link	Comment
USB bottom camera	bottom camera	>1m pixel,70 degree,28mm focal length,25mmx30mm(wxh),<15mm height1	1	ov9726	 ov3660	https://de.aliexpress.com/item/1005004818238391.html?spm=a2g0o.productlist.main.1.49597299dWMRKh&algo_pvid=ee5761a3-1a91-414a-8efb-e34e52e92437&algo_exp_id=ee5761a3-1a91-414a-8efb-e34e52e92437-0&pdp_npi=4%40dis%21EUR%219.72%216.51%21%21%2175.61%21%21%4021038edc16926184066517561eb75a%2112000030604623929%21sea%21DE%212789418838%21&curPageLogUid=j8r5pV437knT
USB top camera	Nozzle head bundle (advanced version)	>1m pixel,70 degree,28mm focal length,25mmx30mm(wxh),<15mm height	1	ov9726,ov3660	https://www.ebay.de/itm/204399319523?hash=item2f972619e3:g:zTUAAOSwFiNd9Hs-	
stepper motor	Nozzle head bundle all version	42 stepper motor, <=30mm height, <=1.8degree angle resolution, 5mm shaft diameter,>10mm shaft length	1			
stepper motor screw	Nozzle head bundle all version	m3 screw	4			
spring	Nozzle head bundle all version	16mm inner diameter，18mm outer diameter,1mm wire diameter,30mm length	1		https://www.ebay.de/itm/393049700652?hash=item5b8396792c:g:U6YAAOSwS6Ff0KBs&amdata=enc%3AAQAIAAAAwGC%2BqKJvYDTt2GdNDFHSvbzL5lXBg33cIRlM5oVt2qEf%2FcUGx73AWS7s%2FQ1eSE5Z97K%2BUPVqhkISDdM0HUNRNd%2FZx3ixpHbokotGDnmF6tGz0vEu2dOaC9xv2J4dlCTSydvjVHP%2FTyyOIcZof%2BWzGRIumnW%2BjR1Y0trfAqQcNFX4ucTYcMDlN%2B0t5MlWQJT%2B1Ujeg1wkY0wiSL9V9gOwyGPBZSk%2BsHPlO1Z7Volii7RE%2BvHxX0yrKZ%2B5eH65n7cMEg%3D%3D%7Ctkp%3ABk9SR6DSi4DDYg	
Nozzle bearing	Nozzle head bundle all version	10mm inner diameter,15mm outer diameter,4mm height for JUKI nozzle	1		https://www.ebay.de/itm/144003597824?hash=item2187488600:g:cg0AAOSwvDxg5mR7&amdata=enc%3AAQAIAAAA4KwPWtf5LauDhX7txFpL4h6K3DG65QTuQjES7vqS%2By9uC1%2FC3OzPX1j10ps1drP%2F7bNsZKNgz7D9EH8LmGr1HAjenv%2FZcZfgiaNy5TPI4QntMKHaOeYoU2wzFHO8mhtsD%2BK4nHZLscvGwaMYnEOaPmQZQfaxFkOI64UgfuzZe8QvwYUQfBlgZtn2lob4gzaL6J6FmxzP%2F2zoW2F32qNhjmbG9W49J7GqvWt9Wu4AxELGfhe9Jhsg%2Fzr%2FqpiCJ2tWy61oN42DvDMRARZAQ8TIQWwC1Ez9TWqfkGF46KEuuTMS%7Ctkp%3ABFBMqpSbgMNi	
Nozzle bearing	Nozzle head bundle all version	15mm inner diameter,21mm outer diameter,4mm height for JUKI nozzle	1		https://de.aliexpress.com/item/32955968366.html?spm=a2g0o.productlist.main.3.300d68dbpvS6se&algo_pvid=e56e1bc4-ca22-43bf-b42e-43107da86123&algo_exp_id=e56e1bc4-ca22-43bf-b42e-43107da86123-1&pdp_npi=4%40dis%21EUR%2113.41%2111.26%21%21%2114.24%21%21%40211b88ee16926190874982391e0483%2112000020602525715%21sea%21DE%212789418838%21&curPageLogUid=jtWTYM7iB2wo	
Air pump bearing	Nozzle head bundle all version	6mm inner diameter,12mm outer diameter,4mm height	1		https://de.aliexpress.com/item/1005004222832036.html?spm=a2g0o.productlist.main.3.3dd775db6C6nIC&algo_pvid=a2bd270a-9a88-4609-adc0-a0eeff4f6f0d&algo_exp_id=a2bd270a-9a88-4609-adc0-a0eeff4f6f0d-1&pdp_npi=4%40dis%21EUR%215.49%215.0%21%21%2142.72%21%21%40211b88ee16926191492354854e0483%2112000030230454330%21sea%21DE%212789418838%21&curPageLogUid=pw16I9fxLTXH	
sealing ring	Nozzle head bundle all version	6mm inner diameter,8mm outer diameter,2mm height	1		https://de.aliexpress.com/item/1005004821149682.html?spm=a2g0o.productlist.main.1.7abd7183mWzwq8&algo_pvid=3437b316-1323-4fdf-a447-468702543557&algo_exp_id=3437b316-1323-4fdf-a447-468702543557-0&pdp_npi=4%40dis%21EUR%2117.94%219.69%21%21%21139.50%21%21%40211b88ee16926192065896643e0483%2112000030614470878%21sea%21DE%212789418838%21&curPageLogUid=6xnXLKtOiyNs	
air pump	Air pump	12v mini airpump, >=4L/min flow, with in and out air flow, 4mm diameter for air intake	1		https://de.aliexpress.com/item/33006096807.html?spm=a2g0o.productlist.main.3.fb955ae7Q8NpSv&algo_pvid=50636560-4108-4a07-99c3-2789006c78f8&algo_exp_id=50636560-4108-4a07-99c3-2789006c78f8-1&pdp_npi=4%40dis%21EUR%211.45%211.13%21%21%211.54%21%21%40211b88f016926195761298599e1df2%2112000020546426291%21sea%21DE%212789418838%21&curPageLogUid=qKI9ENKLEeXb	
